Banco;ID;Emp;Tipo;Regra;Descricao;Debito;D-Terc;D-C/C;Credito;C-Terc;C-C/C;Historico
237;3797;9999;C;COM;RECEBIMENTO FORNECEDOR REDECARD S/A;#BCO;;;1191101;;;RECEBIMENTO FORNECEDOR REDECARD S/A
237;639;9999;C;COM;RECEBIMENTO FORNECEDOR SOROCRED MEIOS DE PAGAMENTOS LTD;#BCO;;;1191101;;;RECEBIMENTO FORNECEDOR SOROCRED MEIOS DE PAGAMENTOS LTD
237;10778;9999;C;COM;RECEBIMENTO TED D REMET;#BCO;;;1191101;;;RECEBIMENTO TED D REMET
237;4582;9999;C;COM;RECEBIMENTO TED D REMET.A SHOES CALC CONF LT;#BCO;;;1191301;;;RECEBIMENTO TED D REMET.A SHOES CALC CONF LT
237;10369;9999;C;COM;RECEBIMENTO TED D REMET.AGUIA SHOES CALCADOS;#BCO;;;1191101;;;RECEBIMENTO TED D REMET.AGUIA SHOES CALCADOS
237;4679;9999;C;COM;RECEBIMENTO TED D REMET.ANTONIO C NASCIMENTO;#BCO;;;1191301;;;RECEBIMENTO TED D REMET.ANTONIO C NASCIMENTO
237;3889;9999;C;COM;RECEBIMENTO TED D REMET.BERSHA CALC CONF LTD;#BCO;;;1191301;;;RECEBIMENTO TED D REMET.BERSHA CALC CONF LTD
237;3003;9999;C;COM;RECEBIMENTO TED D REMET.BETEL EQUIPAMENTOS D;#BCO;;;1191301;;;RECEBIMENTO TED D REMET.BETEL EQUIPAMENTOS D
237;12565;9999;C;COM;RECEBIMENTO TED D REMET.COPPERAF MATERIA PRI;#BCO;;;1191301;;;RECEBIMENTO TED D REMET.COPPERAF MATERIA PRI
237;4710;9999;C;COM;RECEBIMENTO TED D REMET.DORES CALCADOS E CON;#BCO;;;1191301;;;RECEBIMENTO TED D REMET.DORES CALCADOS E CON
237;12664;9999;C;COM;RECEBIMENTO TED D REMET.EMPOLI A C G F LTDA.;#BCO;;;1191301;;;RECEBIMENTO TED D REMET.EMPOLI A C G F LTDA.
237;12639;9999;C;COM;RECEBIMENTO TED D REMET.EMPOLI ATIV.COB. GES;#BCO;;;1191301;;;RECEBIMENTO TED D REMET.EMPOLI ATIV.COB. GES
237;4620;9999;C;COM;RECEBIMENTO TED D REMET.H P CALCADOS E CONFE;#BCO;;;1191301;;;RECEBIMENTO TED D REMET.H P CALCADOS E CONFE
237;4625;9999;C;COM;RECEBIMENTO TED D REMET.H.P. CALCADOS E CONF;#BCO;;;1191301;;;RECEBIMENTO TED D REMET.H.P. CALCADOS E CONF
237;3823;9999;C;COM;RECEBIMENTO TED D REMET.MONIQUE CALCADOS E C;#BCO;;;1191301;;;RECEBIMENTO TED D REMET.MONIQUE CALCADOS E C
237;10664;9999;C;COM;RECEBIMENTO TED D REMET.NIC CALC E CONFEC EI;#BCO;;;1191101;;;RECEBIMENTO TED D REMET.NIC CALC E CONFEC EI
237;1488;9999;C;COM;RECEBIMENTO TED D REMET.OLIBRAS TELECOM LTDA;#BCO;;;1191301;;;RECEBIMENTO TED D REMET.OLIBRAS TELECOM LTDA
237;2526;9999;D;COM;RECEBIMENTO TED D REMET.OLIBRAS TELECOMUNICA;#BCO;;;1191301;;;RECEBIMENTO TED D REMET.OLIBRAS TELECOMUNICA
237;4740;9999;C;COM;RECEBIMENTO TED D REMET.RAFAEL CALCADOS E CO;#BCO;;;1191301;;;RECEBIMENTO TED D REMET.RAFAEL CALCADOS E CO
237;2883;9999;C;COM;RECEBIMENTO TED D REMET.RODANDO LEGAL   SERV;#BCO;;;1191101;;;RECEBIMENTO TED D REMET.RODANDO LEGAL   SERV
237;7286;9999;D;COM;RECEBIMENTO TED D REMET.SAINT CARLO COM AL L;#BCO;;;1191101;;;RECEBIMENTO TED D REMET.SAINT CARLO COM AL L
237;7232;9999;C;COM;RECEBIMENTO TED D REMET.SAINT CARLO COMERCIO;#BCO;;;1191101;;;RECEBIMENTO TED D REMET.SAINT CARLO COMERCIO
237;12510;9999;C;COM;RECEBIMENTO TED D REMET.SHOCK METAIS N FERRO;#BCO;;;1191301;;;RECEBIMENTO TED D REMET.SHOCK METAIS N FERRO
237;12507;9999;C;COM;RECEBIMENTO TED D REMET.SHOCK METAIS NAO FER;#BCO;;;1191301;;;RECEBIMENTO TED D REMET.SHOCK METAIS NAO FER
237;4590;9999;C;COM;RECEBIMENTO TED D REMET.TRANSGUARD;#BCO;;;1191101;;;RECEBIMENTO TED D REMET.TRANSGUARD
237;2247;9999;C;COM;RECEBIMENTO TED D REMET.WOLLAUTO ADMINISTRAC;#BCO;;;1191101;;;RECEBIMENTO TED D REMET.WOLLAUTO ADMINISTRAC
237;1305;9999;C;COM;RECEBIMENTO TED E REMET.;#BCO;;;1191101;;;RECEBIMENTO TED E REMET.
237;1299;9999;C;COM;RECEBIMENTO TED E REMET.COMPANHIA DE ENGENHA;#BCO;;;1191101;;;RECEBIMENTO TED E REMET.COMPANHIA DE ENGENHA
237;1301;9999;C;COM;RECEBIMENTO TED E REMET.WOLLAUTO ADM E LOCAC;#BCO;;;1191101;;;RECEBIMENTO TED E REMET.WOLLAUTO ADM E LOCAC
237;1294;9999;C;COM;RECEBIMENTO TED E REMET.WOLLAUTO ADMINISTRAC;#BCO;;;1191101;;;RECEBIMENTO TED E REMET.WOLLAUTO ADMINISTRAC
237;150;9999;D;COM;RECIBO DE RETIRADA;1111111;;;#BCO;;;RECIBO DE RETIRADA
237;22;9999;D;COM;RECIBO DE RETIRADA ESPECIE;1191201;;;#BCO;;;RECIBO DE RETIRADA ESPECIE
237;7285;9999;D;COM;REDE AMEX REDECARD S A;#BCO;;;1191101;;;REDE AMEX REDECARD S A
237;6197;9999;C;COM;REDE ATECIPACAO OUTRAS REDECARD S A;00233;;;11531;;;REDE ATECIPACAO OUTRAS REDECARD S A
237;7233;9999;C;COM;REDE DINERS CREDITO REDECARD S A;#BCO;;;1191101;;;REDE DINERS CREDITO REDECARD S A
237;10240;9999;C;COM;REDE ELO CREDITO REDECARD S A;#BCO;;;1191101;;;REDE ELO CREDITO REDECARD S A
237;5968;9999;C;COM;REDE ELO DEBITO REDECARD S A;#BCO;;;1191101;;;REDE ELO DEBITO REDECARD S A
237;3930;9999;C;COM;REDE HIPER CRED REDECARD S A;#BCO;;;1191101;;;REDE HIPER CRED REDECARD S A
237;3798;9999;C;COM;REDE MASTER CREDITO REDECARD S A;#BCO;;;1191101;;;REDE MASTER CREDITO REDECARD S A
237;5966;9999;C;COM;REDE MASTER DEBITO REDECARD S A;#BCO;;;1191101;;;REDE MASTER DEBITO REDECARD S A
237;3799;9999;C;COM;REDE MASTER DEBITO REDECARD S/A;#BCO;;;1191101;;;REDE MASTER DEBITO REDECARD S/A
237;3801;9999;C;COM;REDE VISA CREDITO REDECARD S A;#BCO;;;1191101;;;REDE VISA CREDITO REDECARD S A
237;5967;9999;C;COM;REDE VISA DEBITO REDECARD S A;#BCO;;;1191101;;;REDE VISA DEBITO REDECARD S A
237;3804;9999;C;COM;REDE VISA DEBITO REDECARD S/A;#BCO;;;1191101;;;REDE VISA DEBITO REDECARD S/A
237;90;9999;C;COM;REDECARD CARTAO DEBITO;#BCO;;;1191101;;;REDECARD CARTAO DEBITO
237;1133;9999;C;COM;REEMB ENCARGOS N COBRADO;#BCO;;;52333;;#CCC;REEMB ENCARGOS N COBRADO
237;2054;9999;C;COM;REEMBOLSO SIN.SEG.SAUDE;#BCO;;;1191101;;;REEMBOLSO SIN.SEG.SAUDE
237;11762;9999;C;COM;REGULARIZACAO LANCAMENTO ;#BCO;;;1191101;;;REGULARIZACAO LANCAMENTO 
237;11763;9999;C;COM;REGULARIZACAO LANCAMENTO;#BCO;;;1191101;;;REGULARIZACAO LANCAMENTO
237;3011;9999;D;COM;REGULARIZACAO LANCAMENTO ESPECIE;1191201;;;#BCO;;;REGULARIZACAO LANCAMENTO ESPECIE
237;1128;9999;C;COM;REND PAGO APLIC AUT;#BCO;;;3713004;;#CCC;REND PAGO APLIC AUT
237;12821;9999;C;COM;RENTAB.INVEST FACILCRED*;101134;;;3713004;;;RENTAB.INVEST FACILCRED*
237;1220;9999;D;COM;REPASSE EMPREST CONSIG;1191201;;;#BCO;;;REPASSE EMPREST CONSIG
237;12572;9999;C;COM;RESG AUTOMATICO INVESTIM;101134;;;501234;;;RESG AUTOMATICO INVESTIM
237;12827;9999;C;COM;RESG.AUTOM.INVEST FACIL;101134;;;501234;;;RESG.AUTOM.INVEST FACIL
237;11791;9999;C;COM;RESG.TIT.CAPITALIZACAO;#BCO;;;1191101;;;RESG.TIT.CAPITALIZACAO
237;12871;9999;C;COM;RESG/VENCTO CDB;#BCO;;;05010;;;RESG/VENCTO CDB
237;12585;9999;C;COM;RESGATE DE INVESTIMENTOS;#BCO;;;05966;;;RESGATE DE INVESTIMENTOS
237;160;9999;C;COM;RESGATE FUNDOS BRAD E FICFIDI TOP;#BCO;;;05024;;;RESGATE FUNDOS BRAD E FICFIDI TOP
237;508;9999;C;COM;RESGATE FUNDOS BRADESCO EMP FIC CRE;#BCO;;;05024;;;RESGATE FUNDOS BRADESCO EMP FIC CRE
237;105;9999;C;COM;RESGATE FUNDOS FIC R.DI HIPERFUNDO;#BCO;;;05024;;;RESGATE FUNDOS FIC R.DI HIPERFUNDO
237;5163;9999;C;COM;RESGATE FUNDOS FIC RF DI HIPERFUNDO;#BCO;;;05272;;;RESGATE FUNDOS FIC RF DI HIPERFUNDO
237;12805;9999;C;COM;RESGATE INV FAC;100481;;;500545;;;RESGATE INV FAC
237;12776;9999;C;COM;RESGATE INVEST FACIL;00884;;;05878;;;RESGATE INVEST FACIL
237;3813;9999;C;COM;RESGATE INVEST PLUS;#BCO;;;05002;;;RESGATE INVEST PLUS
237;11766;9999;D;COM;RESGATE INVESTIMENTOS;#BCO;;;11235;;;RESGATE INVESTIMENTOS
237;3529;9999;C;COM;RESGATE MERCADO ABERTO;#BCO;;;05005;;;RESGATE MERCADO ABERTO
237;3530;9999;D;COM;SAQUE C/C BANCO24HORAS;1191201;;;#BCO;;;SAQUE C/C BANCO24HORAS
237;4641;9999;D;COM;SAQUE C/C BDN;1191201;;;#BCO;;;SAQUE C/C BDN
237;12858;9999;D;COM;SAQUE CAIXA AG CHEQUE DEP.CONTA;1191201;;;#BCO;;;SAQUE CAIXA AG CHEQUE DEP.CONTA
237;12796;9999;D;COM;SAQUE CAIXA AG CHEQUE ESPECIE;1191201;;;#BCO;;;SAQUE CAIXA AG CHEQUE ESPECIE
237;12822;9999;C;COM;SAQUE CAIXA AG RECIBO ESPECIE;#BCO;;;1191101;;;SAQUE CAIXA AG RECIBO ESPECIE
237;2897;9999;D;COM;SAQUE CC AUTOAT;1191201;;;#BCO;;;SAQUE CC AUTOAT
237;12853;9999;D;COM;SAQUE DINHEIRO ATM ;1191201;;;#BCO;;;SAQUE DINHEIRO ATM 
237;12879;9999;D;COM;SAQUE DINHEIRO BANCO 24H 00063383                14111305;1191201;;;#BCO;;;SAQUE DINHEIRO BANCO 24H 00063383                14111305
237;12880;9999;D;COM;SAQUE DINHEIRO BANCO 24H 00063383                14111306;1191201;;;#BCO;;;SAQUE DINHEIRO BANCO 24H 00063383                14111306
237;12878;9999;D;COM;SAQUE DINHEIRO BANCO 24H 00063383                14111307;1191201;;;#BCO;;;SAQUE DINHEIRO BANCO 24H 00063383 14111307
237;12800;9999;D;COM;SERV DEP QUALIF;5713003;;;#BCO;;;SERV DEP QUALIF
